9/100 - 0/569 |  Loss train-val = 1.4163 - 2.4208 | Acc train - val = 0.4730 - 0.3137
9/100 - 200/569 |  Loss train-val = 1.7903 - 2.4227 | Acc train - val = 0.3971 - 0.3133
9/100 - 400/569 |  Loss train-val = 2.1534 - 2.4512 | Acc train - val = 0.2861 - 0.3121
10/100 - 0/569 |  Loss train-val = 3.2804 - 2.4741 | Acc train - val = 0.2621 - 0.3075
10/100 - 200/569 |  Loss train-val = 2.7211 - 2.3618 | Acc train - val = 0.2988 - 0.3210
10/100 - 400/569 |  Loss train-val = 3.4347 - 2.4472 | Acc train - val = 0.2220 - 0.3083
11/100 - 0/569 |  Loss train-val = 2.2198 - 2.2311 | Acc train - val = 0.2426 - 0.3340
11/100 - 200/569 |  Loss train-val = 3.0706 - 2.3028 | Acc train - val = 0.2210 - 0.3280
11/100 - 400/569 |  Loss train-val = 1.8714 - 2.2721 | Acc train - val = 0.3556 - 0.3248
12/100 - 0/569 |  Loss train-val = 2.3069 - 2.3078 | Acc train - val = 0.2958 - 0.3245
0/100 - 0/569 |  Loss train-val = 2.1813 - 2.3486 | Acc train - val = 0.3444 - 0.3223
0/100 - 200/569 |  Loss train-val = 1.8321 - 2.2975 | Acc train - val = 0.2898 - 0.3265
0/100 - 400/569 |  Loss train-val = 2.0542 - 2.4012 | Acc train - val = 0.3506 - 0.3166
1/100 - 0/569 |  Loss train-val = 2.8635 - 2.2870 | Acc train - val = 0.2681 - 0.3311
1/100 - 200/569 |  Loss train-val = 2.6036 - 2.2219 | Acc train - val = 0.2900 - 0.3343
1/100 - 400/569 |  Loss train-val = 2.3545 - 2.2018 | Acc train - val = 0.3262 - 0.3336
2/100 - 0/569 |  Loss train-val = 1.9261 - 2.2759 | Acc train - val = 0.3462 - 0.3262
2/100 - 200/569 |  Loss train-val = 2.8579 - 2.2134 | Acc train - val = 0.2694 - 0.3347
2/100 - 400/569 |  Loss train-val = 1.8757 - 2.3063 | Acc train - val = 0.4029 - 0.3266
3/100 - 0/569 |  Loss train-val = 1.4107 - 2.3536 | Acc train - val = 0.4561 - 0.3225
3/100 - 200/569 |  Loss train-val = 1.8811 - 2.2335 | Acc train - val = 0.3644 - 0.3320
3/100 - 400/569 |  Loss train-val = 2.5169 - 2.2463 | Acc train - val = 0.2760 - 0.3330
4/100 - 0/569 |  Loss train-val = 2.0733 - 2.2074 | Acc train - val = 0.3362 - 0.3296
4/100 - 200/569 |  Loss train-val = 1.4933 - 2.1587 | Acc train - val = 0.3941 - 0.3440
4/100 - 400/569 |  Loss train-val = 2.8080 - 2.2990 | Acc train - val = 0.2794 - 0.3249
5/100 - 0/569 |  Loss train-val = 2.4033 - 2.3599 | Acc train - val = 0.2305 - 0.3159
0/100 - 0/569 |  Loss train-val = 2.9366 - 2.4469 | Acc train - val = 0.2518 - 0.3083
0/100 - 200/569 |  Loss train-val = 2.1132 - 2.2546 | Acc train - val = 0.3191 - 0.3285
0/100 - 400/569 |  Loss train-val = 1.4151 - 2.3339 | Acc train - val = 0.4711 - 0.3256
1/100 - 0/569 |  Loss train-val = 2.0396 - 2.2450 | Acc train - val = 0.3942 - 0.3310
1/100 - 200/569 |  Loss train-val = 2.3014 - 2.2146 | Acc train - val = 0.3722 - 0.3278
1/100 - 400/569 |  Loss train-val = 1.7340 - 2.3045 | Acc train - val = 0.3304 - 0.3238
2/100 - 0/569 |  Loss train-val = 2.5454 - 2.2984 | Acc train - val = 0.2988 - 0.3247
2/100 - 200/569 |  Loss train-val = 2.9213 - 2.2022 | Acc train - val = 0.2617 - 0.3364
2/100 - 400/569 |  Loss train-val = 2.2500 - 2.1346 | Acc train - val = 0.2938 - 0.3457
3/100 - 0/569 |  Loss train-val = 2.2007 - 2.2296 | Acc train - val = 0.3257 - 0.3300
3/100 - 200/569 |  Loss train-val = 1.8976 - 2.2650 | Acc train - val = 0.3942 - 0.3305
3/100 - 400/569 |  Loss train-val = 1.9618 - 2.2079 | Acc train - val = 0.3328 - 0.3360
4/100 - 0/569 |  Loss train-val = 1.5569 - 2.1554 | Acc train - val = 0.3877 - 0.3378
4/100 - 200/569 |  Loss train-val = 1.3972 - 2.2325 | Acc train - val = 0.4808 - 0.3312
4/100 - 400/569 |  Loss train-val = 2.0238 - 2.2562 | Acc train - val = 0.3587 - 0.3287
5/100 - 0/569 |  Loss train-val = 1.8990 - 2.1753 | Acc train - val = 0.3698 - 0.3355
